Date,Timestamp,Open,High,Low,Close,Volume
20230824,00:00:00,26392.6,26534.3,25841.8,26139.7,0.188393999858249
20230825,00:00:00,26139.6,26269.8,25752.7,25987.1,0.151962500137586
20230826,00:00:00,25987.7,26050.3,25920.3,25981.1,0.00561350015260587
20230827,00:00:00,25981.1,26141.8,25931.8,26066.3,0.0198950006299583
20230828,00:00:00,26066.3,26212.6,25840.6,26075.8,0.0645375998061581
20230829,00:00:00,26077.8,28106.9,25881.7,27682.7,0.130352519995695
20230830,00:00:00,27684.4,27732.1,27027.6,27267.3,0.0142274999703318
20230831,00:00:00,27267.3,27519.2,25669.6,25903.3,0.212574006521777
20230901,00:00:00,25903.6,26108.4,25301.2,25736.7,0.629695021855241
20230902,00:00:00,25738.6,25945.3,25677.8,25830.6,0.207568007236318
20230903,00:00:00,25831.8,26082.2,25768.9,25931.6,0.409555014232666
20230904,00:00:00,25932.6,26058.2,25610.2,25785.7,0.746233025030506
20230905,00:00:00,25786.9,25842.5,25539,25751.7,1.08630893792737
20230906,00:00:00,25749.8,26005.6,25374.9,25722.3,1.4074170490353
20230907,00:00:00,25721.6,26395.1,25573.6,26227.8,1.26769004286734
20230908,00:00:00,26229.9,26400.8,25623.4,25841.2,1.18005203873099
20230909,00:00:00,25841,25877.8,25726.3,25861.5,0.0775200027419487
20230910,00:00:00,25861.6,25959.1,25554.8,25800.7,0.54514101894074
20230911,00:00:00,25801,25860.5,24889.3,25123.6,1.66459193658739
20230912,00:00:00,25124.2,26500.9,25094.5,25801.8,1.66070005232177
20230913,00:00:00,25801.8,26369.1,25737.3,26162.2,1.1144030332498
20230914,00:00:00,26191.3,26810.2,26105,26494.3,0.623094013650643
20230915,00:00:00,26494.3,26824.7,26188.3,26537.3,0.542158013352491
20230916,00:00:00,26537.7,26711.1,26406.6,26527.1,0.388455013739986
20230917,00:00:00,26527.3,26581.4,26342.1,26495.1,0.559055019376501
20230918,00:00:00,26495.2,27379.2,26373.7,26724.3,0.793537019316318
20230919,00:00:00,26724.3,27450.2,26637.6,27188.2,0.820096220837485
20230920,00:00:00,27188.2,27352.7,26788.3,27090.8,0.762445016872789
20230921,00:00:00,27090.8,27124.2,26338.9,26528.7,1.1281708332735
20230922,00:00:00,26528.5,26703.4,26421.5,26513.3,0.873853027469977
20230923,00:00:00,26513.2,26597.3,26448.2,26542.5,0.200766007101265
20230924,00:00:00,26542.5,26689.6,26124.4,26213,0.278099008897243
20230925,00:00:00,26213,26399.6,25960.9,26262.2,0.552111007651547
20230926,00:00:00,26262.2,26357.1,26053.1,26175,0.999215025115518
20230927,00:00:00,26174.5,26800,26063.4,26329.3,0.782483732471221
20230928,00:00:00,26329.3,27266.1,26290.3,26986.7,1.12103802756383
20230929,00:00:00,26986.4,27199.3,26651.2,26841.9,0.615524010155241
20230930,00:00:00,26841.6,27051.6,26819.8,26924.9,0.268070008263294
20231001,00:00:00,26924.8,28010.7,26905.3,27952.2,0.535615015195162
20231002,00:00:00,27952.5,28552.7,27260.5,27460.5,0.977349004894677
20231003,00:00:00,27460.7,27633,27142.8,27390,0.526833002826152
20231004,00:00:00,27390.5,27794.3,27181.8,27747.5,0.614100008648165
20231005,00:00:00,27748.1,28078.7,27321.1,27375.3,0.542459999916446
20231006,00:00:00,27374.9,28223.7,27143.2,27880,0.622688001582901
20231007,00:00:00,27881.2,27985.9,27797.3,27925.9,0.438872013702621
20231008,00:00:00,27926,28058.2,27671.5,27893.7,0.668814021201342
20231009,00:00:00,27893.2,27960.1,27240.3,27553.8,0.589744999969298
20231010,00:00:00,27553.7,27696.9,27259.4,27357.4,0.461790000378187
20231011,00:00:00,27357,27438.3,26499.1,26833.9,0.729322004600817
20231012,00:00:00,26833.9,26902,26516,26719.3,0.697632010271718
20231013,00:00:00,26719.9,27057.3,26638.9,26798.4,0.648395013623485
20231014,00:00:00,26800.6,26924.1,26752.8,26813.5,0.272721909646386
20231015,00:00:00,26786.6,27256.1,26766.1,27131,0.34320201009632
20231016,00:00:00,27131,29959.1,27088.7,28479.2,0.610374202385714
20231017,00:00:00,28480.1,28585.9,28055.9,28369.6,0.861209420731054
20231018,00:00:00,28369.8,28943.4,28116.6,28286.8,0.659171999994214
20231019,00:00:00,28286.7,28874.7,28100.7,28690.1,0.494427998165975
20231020,00:00:00,28690.1,30189.2,28555.7,29619.6,1.61459697545888
20231021,00:00:00,29620.6,30303.9,29411.3,29876.9,0.368424073451764
20231022,00:00:00,29877.7,30206.9,29627.8,29960.3,0.776364025951352
20231023,00:00:00,29959,34560.7,29853.3,33039.4,0.869696608132244
20231024,00:00:00,33037.9,35179.9,32811.5,33889.6,0.933146017401214
20231025,00:00:00,33889.6,35093.5,33661.7,34461.3,0.530510198737119
20231026,00:00:00,34460.4,34793,33704,34118.9,0.409795999012545
20231027,00:00:00,34118.9,34206.6,33366.3,33840.9,0.188854450480861
20231028,00:00:00,33840.8,34449,33804.7,34045,0.240544001578201
20231029,00:00:00,34044.7,34713.9,33903.1,34492.3,0.264269219527263
20231030,00:00:00,34492.7,34820.2,34051.9,34459.2,0.459051999178655
20231031,00:00:00,34461.9,34689.7,34018.3,34618.1,0.116436399804371
20231101,00:00:00,34618.5,35539.4,34064.9,35386.9,0.317625499308804
20231102,00:00:00,35387.2,35914.4,34288.8,34907.2,0.247315299515435
20231103,00:00:00,34907.3,34910.3,34092.5,34671,0.119398999834971
20231104,00:00:00,34671,35222.5,34541.7,35039.9,0.03220700021825
20231105,00:00:00,35041.7,35350.7,34451.5,35000.2,0.139373380142914
20231106,00:00:00,35000.2,35237,34713.7,35006.3,0.873826037837787
20231107,00:00:00,35007,35854.1,34494.8,35393.1,1.07826159740137
20231108,00:00:00,35374.2,36068.8,35067.2,35586,1.01032500722704
20231109,00:00:00,35586,37933.7,35505.8,36662.9,1.6191779957631
20231110,00:00:00,36663.3,37484.9,36289.7,37259.7,0.714903448620511
20231111,00:00:00,37259.9,37358.9,36672.7,37094.7,0.185145006194375
20231112,00:00:00,37094.7,37183.5,36696.7,37045.7,0.224921007527428
20231113,00:00:00,37045.7,37383.6,36329.5,36440.8,0.182900999933622
20231114,00:00:00,36440.8,36717,34789.5,35510.9,0.385095401341424
20231115,00:00:00,35510.9,37922.9,35327.8,37826.7,0.385505099607897
20231116,00:00:00,37826.7,37907.8,35478.2,36130.4,0.310417078612359
20231117,00:00:00,36130.4,36745.7,35827.4,36572.5,0.172762199082044
20231118,00:00:00,36572.5,36809.5,36151.5,36539.9,0.0390800012647929
20231119,00:00:00,36540.1,37472.9,36366.9,37346.5,0.0868596307573437
20231120,00:00:00,37346.5,37718.9,36684,37425.4,0.790538231693724
20231121,00:00:00,37425.4,37615.4,35710.7,35710.7,1.46129774529696
20231122,00:00:00,35710.7,37825.9,35608.9,37384.9,0.26590269902994
20231123,00:00:00,37385.1,37605.2,36854.5,37260.3,0.512897998643894
20231124,00:00:00,37260.5,38380.7,37222.9,37680.7,0.864435998712452
20231125,00:00:00,37683.7,37860.8,37563.6,37757.9,0.0723352014784524
20231126,00:00:00,37757.9,37780.1,37122.2,37410.1,0.0346840000223807
20231127,00:00:00,37410.1,37525.1,36687.4,37207,0.133007600045033
20231128,00:00:00,37207.3,38349.7,36836.7,37790.9,0.342143199393547
20231129,00:00:00,37790.9,38407.2,37548.3,37826.4,0.581473798556019
20231130,00:00:00,37826.4,38111.6,37469.9,37692.3,0.0481935999203245
20231201,00:00:00,37692.3,38946.2,37588.5,38646.6,0.096788959900282
20231202,00:00:00,38646.6,39674.9,38596.1,39424.2,0.253766599432552
20231203,00:00:00,39423.3,40158.8,39244.4,39942.7,0.136314599854188
20231204,00:00:00,39943.7,42364.8,39943.6,41949.1,0.330972499255289
20231205,00:00:00,41949,44445.5,41373.7,44041.4,0.441239298970636
20231206,00:00:00,44041.6,44244.7,43331.4,43724.6,0.203449399904635
20231207,00:00:00,43724.6,44006.1,42809.9,43257.4,0.200346399974961
20231208,00:00:00,43257.4,44675.5,43051.5,44136.1,0.1790585999819
20231209,00:00:00,44139.9,44312.1,43566.1,43674.6,0.0461401993931361
20231210,00:00:00,43675.5,44004.6,43547.7,43751.5,0.0342467993426965
20231211,00:00:00,43751.4,43771,40147.2,41200,0.721754645182703
20231212,00:00:00,41200,42048.7,40630.7,41450.6,0.698556599536531
20231213,00:00:00,41450.7,43410.4,40597.2,42833.2,0.249408999498542
20231214,00:00:00,42833.2,43369.3,41497,42990.6,0.443135499203585
20231215,00:00:00,42990.6,43048.6,41639.1,41875,0.137578200109942
20231216,00:00:00,41875,42646.9,41579.8,42213.9,0.0505372003306661
20231217,00:00:00,42213.9,42355.7,41218.7,41333,0.142502399740394
20231218,00:00:00,41333,42710.4,40493.2,42616.2,0.329732799356421
20231219,00:00:00,42616.5,43428.2,41779.7,42230.8,0.254183748937835
20231220,00:00:00,42235.7,44242.7,42167.2,43627.1,1.22237799175764
20231221,00:00:00,43627.1,44201.9,43262.3,43828.1,1.12194699536803
20231222,00:00:00,43829,44361.6,43380.3,43948.6,1.12563599730856
20231223,00:00:00,43948.5,43973.1,43270.2,43689.1,0.240313202633956
20231224,00:00:00,43689.1,43908.5,42565.1,42967,0.0322954002009936
20231225,00:00:00,43387.2,43676.9,43307,43539.8,0.00781239999349737
20231226,00:00:00,43539.8,43561.3,41612.3,42480,0.210571303214032
20231227,00:00:00,42480,43644.2,42075.6,43427.4,0.177519805452064
20231228,00:00:00,43427.4,43756.1,42252.1,42545.6,0.209441806548611
20231229,00:00:00,42545.6,43092.2,41249.3,42005.7,0.210922256809344
20231230,00:00:00,42005.7,42560.8,41495.8,42109.7,0.0491843992598149
20231231,00:00:00,42109.9,42844.3,41952.8,42447.6,0.0267843993883474
20240101,00:00:00,43712.4,44154.2,43426.2,44146.3,0.0159175998832524
20240102,00:00:00,44146.3,45865.2,44117.6,44915.6,0.455181841628281
20240103,00:00:00,44918.4,45467.6,40833.6,42808.9,0.6553476003496
20240104,00:00:00,42809.1,44750.7,42593.7,44113.6,0.373175499926013
20240105,00:00:00,44113.6,44298.2,42731,44124.6,1.15345661015142
20240106,00:00:00,44122.6,44195.8,43372.1,43930,0.522699992493472
20240107,00:00:00,43928.7,44439.4,43554.7,43883.4,0.725934987883193
20240108,00:00:00,43889.6,47243.8,43156.7,46928.6,1.47053348534562
20240109,00:00:00,46931,47913,44860.4,46058.2,3.62461807882376
20240110,00:00:00,46058.2,47663.7,44323.5,46629.6,5.13782603011168
20240111,00:00:00,46636,48946.2,45575.2,46301.3,5.42299100545411
20240112,00:00:00,46301.3,46476.7,41386.9,42709.8,3.88856048057782
20240113,00:00:00,42709.8,43206.3,42362.8,42805.5,0.541986993729097
20240114,00:00:00,42805,43028.4,41679.2,41679.2,0.498687338611689
20240115,00:00:00,41679.2,43324,41662.2,42461.4,1.1731245853704
20240116,00:00:00,42461.4,43528.6,42021.8,43101,1.33334090508634
20240117,00:00:00,43102.5,43153.1,42152.4,42708.2,0.917450591190459
20240118,00:00:00,42722.2,42876,40587.2,41261.2,1.17375499917671
20240119,00:00:00,41261.2,42136.2,40233.5,41561,0.841285006239843
20240120,00:00:00,41562.3,41778.2,41367.4,41647.6,0.0239532006143151
20240121,00:00:00,41647.6,41836.7,41467.9,41542.5,0.0447897998787141
20240122,00:00:00,41542,41638.6,39389.9,39486.2,0.653949198691919
20240123,00:00:00,39505.7,40114.2,38480.2,39842.5,0.677079002356123
20240124,00:00:00,39846.3,40497.2,39435.5,40041.6,1.12758360082618
20240125,00:00:00,40035.7,40251.2,39504,39901.7,1.14614799399624
20240126,00:00:00,39899.3,42198.8,39772.5,41749.8,1.11802501134025
20240127,00:00:00,41750.1,42152.7,41360.5,42084.4,0.220583001678278
20240128,00:00:00,42085.8,42789.2,41586.7,41993.2,0.430668990503588
20240129,00:00:00,41991.2,43271.1,41772.6,43265.4,0.81264420828947
20240130,00:00:00,43265.7,43822,42652.9,42916.3,0.968540989099509
20240131,00:00:00,42916.3,43706.2,42249.4,42526.1,0.798560895293157
20240201,00:00:00,42520.9,43236.7,41842.2,43037.4,0.701055196003296
20240202,00:00:00,43037.4,43432,42508.7,43122.7,0.511639800168808
20240203,00:00:00,43122.9,43296.9,42833.7,42966.5,0.0281648000711243
20240204,00:00:00,42966.5,43068.1,42188.8,42545.6,0.0712113999255877
20240205,00:00:00,42545.6,43500.7,42213.2,42619.3,0.50745259898919
20240206,00:00:00,42625.7,43335.6,42491.6,43063.4,0.469783797425151
20240207,00:00:00,43063.4,44359.9,42733.9,44309.4,0.709743994803105
20240208,00:00:00,44310.6,45574,44298.7,45271.9,1.48110227239749
20240209,00:00:00,45271.9,48164.9,45220,47095.3,2.99452386539257
20240210,00:00:00,47091.9,48129.5,46838.4,47721.8,0.2276670029039
20240211,00:00:00,47720.6,48554,47540.2,48275.8,0.300568598025379
20240212,00:00:00,48275,50308.3,47685.2,49907,3.42218095458267
20240213,00:00:00,49907,50354.4,48299.2,49695.5,2.51247016806641
20240214,00:00:00,49695.5,52009.3,49216.3,51797.3,4.99835565737629
20240215,00:00:00,51797.3,52807.2,51312.2,51895.8,5.49917401997891
20240216,00:00:00,51895.3,52545.3,51575.2,52101.5,3.82332919044534
20240217,00:00:00,52105.3,52152.9,50604.4,51625,0.172470596137018
20240218,00:00:00,51625.3,52338.5,51152.3,52104.6,0.194854398410413
20240219,00:00:00,52104.6,52455.1,51647.8,51737.3,2.68169185009201
